Pot Structure mpid RMS imagmodes(pot) imagmodes(dft) 
Fig_4_combined_f_0.0010 15 mp-1200830 0.03445501367153187 False False
Fig_4_combined_f_0.0010 18 mp-1203790 0.04948170030571534 False False
Fig_4_combined_f_0.0010 22 mp-149 0.07455463173403049 False False
Fig_4_combined_f_0.0010 23 mp-16220 0.24144376019396063 False False
Fig_4_combined_f_0.0010 24 mp-165 0.16774494729152797 False False
Fig_4_combined_f_0.0010 25 mp-168 0.12247624673582375 False False
Fig_4_combined_f_0.0010 28 mp-571520 0.10247681824412587 False False
Fig_4_combined_f_0.0010 32 mp-971661 0.04760625280780405 False False
Fig_4_combined_f_0.0010 33 mp-971662 0.04271160393121928 False False
Fig_4_combined_f_0.0010 34 mp-999200 0.07613073941051342 False False
Fig_4_combined_f_0.0001 5 mp-1072544 2.7487433785782724 True False
Fig_4_combined_f_0.0001 6 mp-1079297 NONE True False
Fig_4_combined_f_0.0001 9 mp-1095269 NONE True False
Fig_4_combined_f_0.0001 15 mp-1200830 NONE False False
Fig_4_combined_f_0.0001 18 mp-1203790 0.11751677718769858 False False
Fig_4_combined_f_0.0001 22 mp-149 0.12559794940454824 False False
Fig_4_combined_f_0.0001 23 mp-16220 NONE False False
Fig_4_combined_f_0.0001 24 mp-165 3.900655367967308 True False
Fig_4_combined_f_0.0001 25 mp-168 2.1688386607914616 False False
Fig_4_combined_f_0.0001 28 mp-571520 NONE False False
Fig_4_combined_f_0.0001 32 mp-971661 0.8740893397856626 True False
Fig_4_combined_f_0.0001 33 mp-971662 0.16264679158908635 False False
Fig_4_combined_f_0.0001 34 mp-999200 21.029743595131304 False False
Fig_5_GAP-18_plus_SCs_f0.01 5 mp-1072544 0.1651195626697976 False False
Fig_5_GAP-18_plus_SCs_f0.01 6 mp-1079297 0.14465995197153167 False False
Fig_5_GAP-18_plus_SCs_f0.01 9 mp-1095269 0.14155889366718713 False False
Fig_5_GAP-18_plus_SCs_f0.01 15 mp-1200830 0.07502537505261955 False False
Fig_5_GAP-18_plus_SCs_f0.01 18 mp-1203790 0.06071139162638237 False False
Fig_5_GAP-18_plus_SCs_f0.01 22 mp-149 0.14965119354962877 False False
Fig_5_GAP-18_plus_SCs_f0.01 23 mp-16220 0.17824560567895711 False False
Fig_5_GAP-18_plus_SCs_f0.01 24 mp-165 0.16213802227945778 False False
Fig_5_GAP-18_plus_SCs_f0.01 25 mp-168 0.18201151117000103 False False
Fig_5_GAP-18_plus_SCs_f0.01 28 mp-571520 0.1326930120045457 False False
Fig_5_GAP-18_plus_SCs_f0.01 32 mp-971661 0.10643496483043118 False False
Fig_5_GAP-18_plus_SCs_f0.01 33 mp-971662 0.0840755969861797 False False
Fig_5_GAP-18_plus_SCs_f0.01 34 mp-999200 0.16972163160972945 False False
Fig_5_GAP-18_plus_SCs_f0.001 5 mp-1072544 0.07863712958955459 False False
Fig_5_GAP-18_plus_SCs_f0.001 6 mp-1079297 0.10798395127609456 False False
Fig_5_GAP-18_plus_SCs_f0.001 9 mp-1095269 0.08884065186208376 False False
Fig_5_GAP-18_plus_SCs_f0.001 15 mp-1200830 0.024894187270049516 False False
Fig_5_GAP-18_plus_SCs_f0.001 18 mp-1203790 0.05175895568553036 False False
Fig_5_GAP-18_plus_SCs_f0.001 22 mp-149 0.055656018134904825 False False
Fig_5_GAP-18_plus_SCs_f0.001 23 mp-16220 0.22605518818498313 False False
Fig_5_GAP-18_plus_SCs_f0.001 24 mp-165 0.15475822358793917 False False
Fig_5_GAP-18_plus_SCs_f0.001 25 mp-168 0.12862578107675843 False False
Fig_5_GAP-18_plus_SCs_f0.001 28 mp-571520 0.08115660547915135 False False
Fig_5_GAP-18_plus_SCs_f0.001 32 mp-971661 0.05300590571701965 False False
Fig_5_GAP-18_plus_SCs_f0.001 33 mp-971662 0.03811205603012437 False False
Fig_5_GAP-18_plus_SCs_f0.001 34 mp-999200 0.08930605753219192 False False
